1	Letters in applied microbiology
1	Life (Basel, Switzerland)
1	Marine drugs
1	Microbial ecology
1	Microbiology spectrum
1	Mikrobiologiia
1	Molecular and cellular biology
1	Molecular & cellular proteomics : MCP
1	Molecular ecology
1	Molecular genetics and genomics : MGG
1	Molecular oral microbiology
1	Molecular phylogenetics and evolution
1	Molecular plant pathology
1	Nature chemical biology
1	Nature medicine
1	Nature microbiology
1	NPJ biofilms and microbiomes
1	Open forum infectious diseases
1	Organic letters
1	Parasitology
1	Pathogens and disease
1	Photosynthesis research
1	Plant & cell physiology
1	Plant physiology
1	Plant physiology and biochemistry : PPB
1	PLoS computational biology
1	PLoS medicine
1	Protein engineering
1	Proteomics
1	RNA biology
1	Science advances
1	Scientific data
1	The American journal of pathology
1	The American journal of tropical medicine and hygiene
1	The Biochemical journal
1	The EMBO journal
1	The Journal of general and applied microbiology
1	The Journal of investigative dermatology
1	The Journal of organic chemistry
1	The Journal of veterinary medical science
1	The New England journal of medicine
1	The new microbiologica
1	Transboundary and emerging diseases
1	Vaccine
1	Vox sanguinis
